token,male_count,female_count,unbiased_count,male_perc,female_perc
The secretary,99.0,28.0,873.0,0.779527559055,0.220472440945
The sociologist,98.0,25.0,877.0,0.79674796748,0.20325203252
The photographer,135.0,27.0,838.0,0.833333333333,0.166666666667
The clerk,144.0,30.0,826.0,0.827586206897,0.172413793103
The nurse,130.0,32.0,838.0,0.802469135802,0.197530864198
The hooker,87.0,27.0,886.0,0.763157894737,0.236842105263
The pediatrician,96.0,26.0,878.0,0.786885245902,0.213114754098
The librarian,90.0,30.0,880.0,0.75,0.25
The registered nurse,97.0,57.0,846.0,0.62987012987,0.37012987013
The environmentalist,67.0,17.0,916.0,0.797619047619,0.202380952381
The treasurer,99.0,22.0,879.0,0.818181818182,0.181818181818
The paralegal,59.0,27.0,914.0,0.686046511628,0.313953488372
The performer,81.0,23.0,896.0,0.778846153846,0.221153846154
The steward,72.0,22.0,906.0,0.765957446809,0.234042553191
The publicist,135.0,37.0,828.0,0.78488372093,0.21511627907
The councilor,85.0,13.0,902.0,0.867346938776,0.132653061224
The waitress,64.0,14.0,922.0,0.820512820513,0.179487179487
The businesswoman,78.0,10.0,912.0,0.886363636364,0.113636363636
The therapist,94.0,17.0,889.0,0.846846846847,0.153153153153
The receptionist,81.0,23.0,896.0,0.778846153846,0.221153846154
The soloist,82.0,29.0,889.0,0.738738738739,0.261261261261
The counselor,93.0,35.0,872.0,0.7265625,0.2734375
The bookkeeper,81.0,23.0,896.0,0.778846153846,0.221153846154
The hairdresser,96.0,27.0,877.0,0.780487804878,0.219512195122
The maid,69.0,20.0,911.0,0.775280898876,0.224719101124
The choreographer,74.0,22.0,904.0,0.770833333333,0.229166666667
The lyricist,87.0,20.0,893.0,0.81308411215,0.18691588785
The vocalist,88.0,25.0,887.0,0.778761061947,0.221238938053
The soft spoken,70.0,28.0,902.0,0.714285714286,0.285714285714
The stylist,67.0,21.0,912.0,0.761363636364,0.238636363636
The interior designer,109.0,30.0,861.0,0.784172661871,0.215827338129
The fashion designer,102.0,52.0,846.0,0.662337662338,0.337662337662
The radiologist,71.0,28.0,901.0,0.717171717172,0.282828282828
The nanny,72.0,17.0,911.0,0.808988764045,0.191011235955
The dancer,91.0,16.0,893.0,0.85046728972,0.14953271028
The realtor,85.0,19.0,896.0,0.817307692308,0.182692307692
The psychiatrist,83.0,25.0,892.0,0.768518518519,0.231481481481
The undersecretary,81.0,19.0,900.0,0.81,0.19
The educator,71.0,21.0,908.0,0.771739130435,0.228260869565
The caretaker,70.0,31.0,899.0,0.693069306931,0.306930693069
The naturalist,75.0,20.0,905.0,0.789473684211,0.210526315789
The artist,178.0,33.0,789.0,0.843601895735,0.156398104265
The advocate,66.0,26.0,908.0,0.717391304348,0.282608695652
The mediator,74.0,20.0,906.0,0.787234042553,0.212765957447
The poet,127.0,34.0,839.0,0.788819875776,0.211180124224
The teacher,109.0,46.0,845.0,0.703225806452,0.296774193548
The pianist,68.0,15.0,917.0,0.819277108434,0.180722891566
The singer,132.0,100.0,768.0,0.568965517241,0.431034482759
The instructor,70.0,26.0,904.0,0.729166666667,0.270833333333
The nun,86.0,20.0,894.0,0.811320754717,0.188679245283
